"sc_x"	"sc_y"	"well_id"	"mc_num"
"W239068"	469.101505802213	953.106406661004	"W239068"	34
"W239069"	789.271844137435	134.505717896604	"W239069"	65
"W239072"	755.592336943242	201.662571754645	"W239072"	72
"W239075"	380.392288156098	986.937015200169	"W239075"	32
"W239076"	746.898568941894	184.0936791517	"W239076"	73
"W239090"	828.720327718192	171.470372050431	"W239090"	64
"W239095"	406.517750024859	302.165147831935	"W239095"	93
"W239096"	763.027277877941	828.326840358313	"W239096"	181
"W239109"	366.226567194682	300.499778555408	"W239109"	93
"W239116"	405.3715672147	295.423398755015	"W239116"	96
"W239124"	838.218808198515	174.005852696471	"W239124"	73
"W239150"	627.096000922345	492.737884730134	"W239150"	47
"W239156"	329.741263270673	311.550927710008	"W239156"	93
"W239163"	358.847239912963	283.292574845005	"W239163"	96
"W239167"	572.981724624479	518.167390717034	"W239167"	45
"W239173"	508.199429077304	1011.89532440891	"W239173"	35
"W239177"	691.665293919256	181.85863002903	"W239177"	70
"W239184"	614.14148997142	462.697152416319	"W239184"	47
"W239185"	362.909191597939	287.660864043908	"W239185"	93
"W239196"	742.78115998924	230.703752138203	"W239196"	72
"W239206"	681.787749840594	137.316209067596	"W239206"	44
"W239208"	564.268720432584	747.034270766738	"W239208"	86
"W239229"	783.56179266801	157.092857879217	"W239229"	72
"W239254"	478.947192673872	1029.15762500829	"W239254"	36
"W239297"	339.434960442564	320.120249056373	"W239297"	93
"W239299"	446.224239826838	891.408465738073	"W239299"	31
"W239303"	620.939637362113	132.488555794536	"W239303"	44
"W239339"	412.030053017333	1069.06566696769	"W239339"	42
"W239346"	398.103580408741	257.117532894104	"W239346"	96
"W239349"	617.294379539069	550.628896233824	"W239349"	47
"W239361"	430.562252887939	1067.81029710454	"W239361"	35
"W239362"	838.232520475383	724.748194541865	"W239362"	189
"W239397"	305.142837999748	298.552322316237	"W239397"	93
"W239400"	398.75774017274	1023.34761141825	"W239400"	37
"W239412"	598.816008631254	582.672485164194	"W239412"	47
"W239418"	362.532499289501	359.785346240963	"W239418"	126
"W239419"	533.353376121328	439.243679431737	"W239419"	45
"W239825"	938.452412916902	1129.76352802794	"W239825"	247
"W239826"	1183.37194812871	1258.28128338318	"W239826"	255
"W239827"	1224.49965784644	1286.45230353869	"W239827"	256
"W239828"	1226.15917350174	1269.44458345589	"W239828"	257
"W239830"	853.460879684689	799.087317757451	"W239830"	191
"W239831"	1236.98071126442	1307.26692907053	"W239831"	257
"W239833"	924.201118179597	747.077648493797	"W239833"	186
"W239834"	1002.88220204085	1234.74830525617	"W239834"	262
"W239836"	1191.26851725174	1237.84563373323	"W239836"	256
"W239838"	1234.26179548671	1275.78810045369	"W239838"	259
"W239839"	790.326856557225	865.624523870187	"W239839"	184
"W239841"	823.707113313674	901.575281886031	"W239841"	182
"W239842"	968.801398813585	1176.67172281466	"W239842"	266
"W239843"	971.167830726332	1085.7922995341	"W239843"	247
"W239844"	1360.09567935671	709.034486922433	"W239844"	180
"W239847"	1232.56311302666	736.969808627366	"W239847"	174
"W239848"	851.68427198908	863.502458730497	"W239848"	182
"W239849"	1177.78847701914	375.075235964649	"W239849"	228
"W239850"	752.364521105366	849.04665499838	"W239850"	184
"W239851"	906.657482653742	899.522610963495	"W239851"	191
"W239852"	1243.88202098529	608.789624137492	"W239852"	176
"W239853"	1102.46045691798	707.166275207587	"W239853"	158
"W239854"	737.514135024877	890.998957700109	"W239854"	184
"W239855"	1217.1334341481	338.512594101773	"W239855"	235
"W239857"	831.587697639523	388.382355751752	"W239857"	213
"W239858"	784.989060686566	869.124420143258	"W239858"	181
"W239859"	739.025411088935	821.639281666522	"W239859"	184
"W239860"	1256.25076913165	1318.61475457243	"W239860"	259
"W239862"	1229.20887839317	1280.14205619166	"W239862"	259
"W239863"	1317.07692385649	685.277302895651	"W239863"	178
"W239865"	1233.9706016319	1249.00703257615	"W239865"	257
"W239866"	1030.92464212396	1229.94919483423	"W239866"	268
"W239869"	858.032748663029	425.974907431097	"W239869"	216
"W239870"	1084.34508125037	1202.95038054367	"W239870"	267
"W239872"	1280.44415220106	1231.27224019298	"W239872"	255
"W239873"	818.291899251437	877.990274067032	"W239873"	183
"W239874"	1315.77108328082	637.675558952089	"W239874"	178
"W239875"	1032.78682468662	1223.21318328924	"W239875"	266
"W239876"	1294.44455797679	829.615457129697	"W239876"	165
"W239877"	908.747490040215	810.988037550102	"W239877"	197
"W239878"	778.950421979912	873.766956467728	"W239878"	184
"W239879"	734.565137995441	856.888199102778	"W239879"	181
"W239881"	832.013883130752	842.888813741084	"W239881"	196
"W239882"	959.019676077078	1218.37953627685	"W239882"	262
"W239883"	741.279271852167	815.772347789343	"W239883"	184
"W239884"	1077.55576292138	1227.52911765915	"W239884"	264
