"mc_x"	"mc_y"	"mc_num"
"1"	295	1144	1
"2"	249	1081	2
"3"	419	819	3
"4"	364	783	4
"5"	335	863	5
"6"	315	924	6
"7"	252	935	7
"8"	247	963	8
"9"	341	842	9
"10"	270	904	10
"11"	202	884	11
"12"	178	886	12
"13"	205	956	13
"14"	289	989	14
"15"	216	998	15
"16"	288	940	16
"17"	223	864	17
"18"	188	771	18
"19"	243	771	19
"20"	150	830	20
"21"	184	816	21
"22"	249	793	22
"23"	346	910	23
"24"	210	809	24
"25"	294	827	25
"26"	313	814	26
"27"	254	822	27
"28"	314	865	28
"29"	259	859	29
"30"	398	919	30
"31"	425	883	31
"32"	405	1021	32
"33"	417	1059	33
"34"	463	967	34
"35"	493	1026	35
"36"	457	1058	36
"37"	445	1010	37
"38"	364	1044	38
"39"	320	997	39
"40"	305	1074	40
"41"	341	1078	41
"42"	362	1000	42
"43"	579	682	43
"44"	650	142	44
"45"	582	429	45
"46"	566	505	46
"47"	611	511	47
"48"	594	278	48
"49"	532	375	49
"50"	566	241	50
"51"	612	327	51
"52"	547	294	52
"53"	573	381	53
"54"	530	323	54
"55"	608	360	55
"56"	584	319	56
"57"	654	228	57
"58"	609	289	58
"59"	663	319	59
"60"	624	360	60
"61"	667	371	61
"62"	649	279	62
"63"	547	333	63
"64"	834	167	64
"65"	812	91	65
"66"	895	115	66
"67"	860	161	67
"68"	877	205	68
"69"	830	129	69
"70"	716	225	70
"71"	734	132	71
"72"	765	154	72
"73"	793	229	73
"74"	769	175	74
"75"	702	175	75
"76"	784	207	76
"77"	683	556	77
"78"	658	574	78
"79"	726	621	79
"80"	749	581	80
"81"	598	589	81
"82"	673	636	82
"83"	625	636	83
"84"	552	648	84
"85"	554	581	85
"86"	578	761	86
"87"	288	210	87
"88"	461	354	88
"89"	455	291	89
"90"	331	265	90
"91"	397	338	91
"92"	354	312	92
"93"	330	315	93
"94"	337	348	94
"95"	371	258	95
"96"	404	296	96
"97"	64	243	97
"98"	26	258	98
"99"	37	310	99
"100"	66	329	100
"101"	76	213	101
"102"	142	176	102
"103"	80	178	103
"104"	123	213	104
"105"	108	281	105
"106"	155	232	106
"107"	203	261	107
"108"	174	313	108
"109"	139	262	109
"110"	135	329	110
"111"	93	257	111
"112"	130	302	112
"113"	230	163	113
"114"	201	94	114
"115"	198	42	115
"116"	249	26	116
"117"	290	137	117
"118"	257	129	118
"119"	322	123	119
"120"	325	47	120
"121"	300	29	121
"122"	316	70	122
"123"	279	46	123
"124"	265	89	124
"125"	236	69	125
"126"	357	427	126
"127"	316	505	127
"128"	935	955	128
"129"	986	1005	129
"130"	889	1016	130
"131"	918	1029	131
"132"	885	986	132
"133"	1019	651	133
"134"	1057	739	134
"135"	1067	720	135
"136"	1145	792	136
"137"	1160	711	137
"138"	1110	723	138
"139"	1054	786	139
"140"	1108	784	140
"141"	1186	860	141
"142"	1292	834	142
"143"	1177	862	143
"144"	1241	862	144
"145"	1214	823	145
"146"	1312	859	146
"147"	1321	767	147
"148"	1268	894	148
"149"	1210	912	149
"150"	1182	935	150
"151"	1237	886	151
"152"	1256	926	152
"153"	1273	854	153
"154"	1127	652	154
"155"	1174	777	155
"156"	1138	681	156
"157"	1133	702	157
"158"	1168	664	158
"159"	1224	724	159
"160"	1232	793	160
"161"	1222	757	161
"162"	1158	747	162
"163"	1285	754	163
"164"	1311	733	164
"165"	1316	798	165
"166"	1197	759	166
"167"	1240	715	167
"168"	1277	674	168
"169"	1210	669	169
"170"	1195	687	170
"171"	1146	837	171
"172"	1264	784	172
"173"	1343	781	173
"174"	1285	720	174
"175"	1257	819	175
"176"	1213	601	176
"177"	1307	585	177
"178"	1301	656	178
"179"	1372	618	179
"180"	1371	683	180
"181"	709	891	181
"182"	792	895	182
"183"	811	845	183
"184"	752	844	184
"185"	912	771	185
"186"	872	786	186
"187"	894	744	187
"188"	860	702	188
"189"	833	722	189
"190"	977	913	190
"191"	881	877	191
"192"	980	832	192
"193"	997	903	193
"194"	929	875	194
"195"	911	797	195
"196"	952	824	196
"197"	868	820	197
"198"	830	767	198
"199"	840	854	199
"200"	897	827	200
"201"	1226	960	201
"202"	1148	887	202
"203"	1114	935	203
"204"	1134	946	204
"205"	1098	887	205
"206"	1064	897	206
"207"	1030	822	207
"208"	1063	869	208
"209"	1035	873	209
"210"	1069	934	210
"211"	1062	985	211
"212"	850	487	212
"213"	833	399	213
"214"	843	441	214
"215"	903	431	215
"216"	906	390	216
"217"	1163	241	217
"218"	1075	246	218
"219"	1088	268	219
"220"	1113	315	220
"221"	1135	255	221
"222"	1233	237	222
"223"	1233	328	223
"224"	1181	374	224
"225"	1224	280	225
"226"	1120	338	226
"227"	1190	304	227
"228"	1181	342	228
"229"	965	398	229
"230"	945	342	230
"231"	993	327	231
"232"	1007	430	232
"233"	1006	383	233
"234"	1090	419	234
"235"	1152	388	235
"236"	1029	355	236
"237"	1093	360	237
"238"	1081	301	238
"239"	1135	291	239
"240"	1009	296	240
"241"	1043	387	241
"242"	1051	324	242
"243"	889	1309	243
"244"	930	1238	244
"245"	1030	1304	245
"246"	1011	1279	246
"247"	952	1095	247
"248"	963	1033	248
"249"	877	1084	249
"250"	1040	1078	250
"251"	1115	1126	251
"252"	1085	1103	252
"253"	1168	1165	253
"254"	1249	1210	254
"255"	1188	1253	255
"256"	1209	1239	256
"257"	1284	1265	257
"258"	1225	1218	258
"259"	1261	1291	259
"260"	1227	1306	260
"261"	1057	1176	261
"262"	976	1212	262
"263"	1011	1233	263
"264"	1080	1176	264
"265"	1040	1153	265
"266"	1006	1157	266
"267"	1072	1237	267
"268"	1034	1239	268
